Ticker,Name,Country/Region,Currency
FVQCM M24 Index,ICE Gasoil Futures minus ICE B,MULT,USD
LPGSMBPP Index,North American Spot LPGs/NGLs,US,USd
ELUB1MON Index,UK Power Baseload Forward Mont,GB,GBP
PFATIOCH Index,PLATTS IODEX CFR CHINA 62% Fe,,USD
FSQCM J24 Index,Bloomberg Fair Value Price/ICE,MULT,USD
FDBSM1 Index,Bloomberg Fair Value Price/Dat,GB,USD
COMXCOPR Index,Comex Copper Inventory Data,US,
LPGSMBPE Index,North American Spot LPGs/NGLs,US,USd
JET1NECC Index,Jet Fuel NWE CIF Cargoes,MULT,USD
TMF5 Comdty,ICE RTD CAL YEAR  Jan25,GB,USD
LCBMCNBG Index,Lithium Carbonate EXW China (B,CH,USD
PGCRDUBA Index,Middle East Dubai Crude FOB Fa,UA,USD
CSCITLTL Index,ICE Total Exchange Total Coffe,US,
SGLDWDUQ Index,Global Gold Demand from Centra,,
ISIXSTSC Index,Steel Price Index Steel Compos,CH,CNY
ARASGO Index,PJK International ARA Gas Oil,MULT,
LPXBHRBS Index,Epex Spot Germany Day-Ahead Au,GE,EUR
BCSL0090 Index,US Crude Oil WTI Cushing OK Sp,,USD
COALMET1 Index,Metallurgical Coal/Coke Plant,US,USD
EUETSSY1 Index,Spot Carbon Dioxide (CO2) Emis,MULT,EUR
PAL2MALY Index,Peninsular Malaysian Palm Oil,MA,MYR
FNK4 Comdty,UK Natural Gas FutMay24,GB,GBP
FVQCM1 Index,ICE Gasoil Futures minus ICE B,MULT,USD
GAANTOTI Index,Norway Total Exit Intraday Wit,,
JETIGCPR Index,Jet Fuel 54 Colonial Pasadena,US,USD
STNWHCXW Index,North Europe Steel Hot Rolled,MULT,EUR
QSCO1 Index,Bloomberg ICE Gasoil Brent Cru,MULT,USD
OPCRTOTL Index,Bloomberg Total OPEC Crude Oil,,
LCBMAUSF Index,Spodumene 6% FOB Australia,AU,USD
CFCDUMMN Index,CFTC CMX Gold Managed Money Ne,US,
NGK4NGM4 Comdty,NATURAL GAS SPRD  K4-M4,US,USD
EECXM1 Index,European CO2 Emission EU ETS P,MULT,EUR
NGCAAECO Index,AECO C Hub USD/MMBtu Natural G,CA,USD
TTF0NXHR Index,ICE Endex Dutch TTF Gas Spot P,NE,EUR
DIAMINDX Index,Diamond Standard Index Price,MULT,USD
QSM4COM4 Comdty,ICE QS-CO Spread  M4-M4,GB,USD
MRSELSCU Index,Metal Research Major Exchanges,US,
OMLPDAHD Index,OMEL Day Ahead Average Electri,SP,EUR
COM4CON4 Comdty,BRENT CRUDE FUTR  M4-N4,GB,USD
