Ticker,Name,Country/Region,Currency
USCSWTIR Index,CME NYMEX Crude Oil Light Swee,US,USD
DH1 Comdty,Generic 1st 'DH' Future,US,USD
CORNILNC Index,USDA Illinois North Central No,US,USD
FVHQM M24 Index,Bloomberg  Price/Nymex Heating,US,USd
CFFDTMMN Index,CFTC CMX Copper Managed Money,US,
APCRTAPI Index,Asia Tapis Crude FOB Kerteh Ca,MA,USD
ARFOSO Index,Argentina Soybean Oil FOB Arge,AR,USD
ENCO1 Index,Bloomberg 1st Month ICE WTI IC,MULT,USD
TM1 Comdty,Generic 1st 'TM' Future,GB,USD
CCCIIQTL Index,China Customs Crude Oil Total,CH,
CFCDKMMN Index,CFTC ICE Cocoa Managed Money N,US,
NEX1Q Comdty,Generic 1st 'NEXQ' Fut,NO,EUR
NRGSNG24 Index,Bloomberg Nymex Henry Hub Natu,US,USD
CDSPCRAV Index,China Domestic Cold Rolled Ste,CH,CNY
VNEUJOQT Index,China Vanadium Pentoxide Flake,NE,USD
FBFCM1 Index,Brent Fluid Catalytic Cracking,MULT,USD
ELFBDAHD Index,France Baseload Power Forward,FR,EUR
GSPRDAPP Index,Appalachia Estimated Dry Gas P,,
FINSESEA Index,SE Asia Ethylene (Olefins) CFR,MULT,USD
YGK4 Comdty,WTI CRUDE PHY TAS May24,US,USD
FSNNM1 Index,Bloomberg Fair Value Price/NWE,MULT,USD
ECM1W1 Index,European Crude Brent CFD W1 vs,GB,USD
RE1 Comdty,Generic 1st 'RE' Future,US,USD
DIEN10PM Index,ULSD NWE FOB Barges,MULT,USD
BACAINDX Index,CEPEA ESALQ Fed Cattle(Male Fa,BZ,BRL
XBK4HOK4 Comdty,NYM XB-HO Spread  K4-K4,US,USD
FSCOY 25 Index,Bloomberg Fair Value Price/ICE,GB,USD
PWEUCASO Index,NEXANT Price - Caustic Soda -,MULT,USD
TRCJ4 Comdty,Thermal Coal      Apr24,CN,CNY
GGC01005 Index,Conventional 87 Gasoline M Col,US,USD
AEOP17 Index,Natural Gas LNG Price (Includi,US,
ENGHRHOB Index,Engelhard Rhodium Bullion Spot,US,USD
IOCISSIN Index,CISA 10Day Steel Inventory Of,CH,
VCOFDAKL Index,Vietnam Dak Lak Robusta Coffee,VN,VND
L6CNQWSA Index,China Lithium Hydroxide 56.5%,CH,CNY
FSNGS SU24 Index,Bloomberg Fair Value Price/Nym,US,USD
FVQCM U24 Index,ICE Gasoil Futures minus ICE B,MULT,USD
IBDLM1 Index,ICE Brent Crude Oil US Gulf Co,MULT,USD
USCRMEHC Index,Crude Oil WTI Houston,US,USD
PEURBG00 Index,Platts ULSD 10ppm CIF NWE,,USD
QSCO2 Index,Bloomberg ICE Gasoil Brent Cru,MULT,USD
ICFUBMMN Index,ICE Brent Crude COT Managed Mo,GB,
RGGISPOT Index,Regional Greenhouse Gas Initia,,USD
USCRSYNC Index,Crude Oil Syncrude Sweet Blend,CA,USD
FBHCM1 Index,Brent Hydrocracker (HCU) Refin,MULT,USD
IMMPFNCN Index,Bloomberg CFTC CME Euro Fx Net,,
OPECDALY Index,OPEC Secretariat Crude Oil Bas,MULT,USD
COINGKRG Index,Certified Coin Exchange (CCEX),US,USD
FVXHM1 Index,NYMEX RBOB Gasoline Futures mi,US,USd
METFLM 24 Index,Lithium Hydroxide China Spot P,CH,USD
N3CNFRQV Index,China Nickel Sulfate Ni 22% Co,CH,CNY
ACETHUBE Index,China Acetic Acid Spot Price H,CH,CNY
OAWWES Index,Global Cocoa Ending Stocks,US,
FOEXCUS Index,China Pulp BHKP PIX Index USD,CH,USD
CRKS211C Index,US Gulf Coast WTI Cushing Crud,US,USD
ELIBYR1 Index,Italy Power Baseload Forward Y,IT,EUR
USLBKLB Index,Corrugated Paper Price Index 3,,USD
EYCI$ Index,Australia Eastern Young Cattle,AU,AUD
P4TCM1 Index,Panamax 4TC FFA 74kt Timechart,MULT,USD
C5TCQ Q224 Index,Capesize 5TC FFA 180kt Timecha,MULT,USD
IVOLCORN Index,Corn 3M Implied Volatility,,
FSQCM Z24 Index,Bloomberg Fair Value Price/ICE,MULT,USD
FVXRM U24 Index,NYMEX RBOB Gasoline Futures mi,US,USD
GSLIQCAM Index,LNG Net Flows Cameron,US,
SAV4 Comdty,IPE NAT GAS SEASN Oct24,GB,GBP
CDUTGLBL Index,Total Global Crude (Atmospheri,MULT,
IMM5JNCL Index,CFTC CME Japanese Yen Non-Comm,,
NASJ0027 Index,PLATTS Iron Ore 67.5% Fe DR Pe,,USD
AJKMM0 Index,Asia JKM LNG DES Japan-Korea C,JN,USD
FBWAM1 Index,Bloomberg Fair Value/Waha Insi,US,USD
IVOLNATG Index,Natural Gas 3M Implied Volatil,,
SOLRAPS Index,Average PV Grade Poly Silicon,,USD
SWZDWPPR Index,Switzerland Wood Pellets Price,V1,CHF
USCRECON Index,Edmonton Crude Oil C5 Condensa,CA,USD
E93048GG Index,EIA 930 US Lower 48 Region Net,US,
FSGAM1 Index,Bloomberg Commodity Fair Value,SI,USD
ITPJ4 Comdty,Italian Base M Fu Apr24,DE,EUR
CRCRSOER Index,China State Owned Refineries R,CH,
BPCEEGGS Index,USDA Eggs Grade A Retail Price,US,USD
FSXRM J24 Index,NYMEX RBOB Gasoline minus ICE,US,USD
CRAMMMIX Index,Petroleos Mexicanos (Pemex) Me,MX,USD
CRNUSPOT Index,US Corn Price Spot,,USD
POLIETNW Index,NWE Ethylene CIF Price USD/MT,MULT,USD
CSC1CNCN Index,Bloomberg CFTC CSCE Cocoa Net,US,
GCFPAMNB Index,US Gulf NOLA Ammonia Spot Pric,US,USD
ZAE1 Comdty,Generic 1st 'ZAE' Future,US,EUR
FVHRM Z24 Index,NYMEX Heating Oil Futures minu,US,USD
IU34AVAK Index,EUA Future Investment Funds Ne,,
DOEAUTIL Index,DOE Change in Refining Capacit,US,
FFWAM1 Index,Bloomberg Fair Value/Waha Insi,US,USD
JETINYPR Index,Jet Fuel NY Buckeye MOC,US,USD
IMM3NNCN Index,Bloomberg CFTC CME NASDAQ Mini,,
GURPDMUA Index,US National Steel Rebar Spot P,US,USD
IOCICRAT Index,CISA Daily Average Crude Steel,CH,
SSGSCCR1 Index,Crude Palm Oil (CPO) CIF Rotte,NE,USD
CNFCRATE Index,China Operating Rate of Blast,CH,
WCSGSPOT Index,CA Crude WCS Houston (Argus) v,,USD
GUCOUSMW Index,US Midwest Used Cooking Oil (U,,USD
HRCITOTL Index,Steelhome China Hot Rolled Coi,CH,
RSCURATE Index,American Iron and Steel Instit,US,
NACX0005 Index,PLATTS Marine Fuel 0.5% FOB Sp,,USD
POLIPVSE Index,SE Asia PVC CFR Price USD/Ton,MULT,USD
FSM2M1 Index,Bloomberg Fair Value Price/Mon,US,USD
SOYBCH1Y Index,USDA No. 1 Yellow Soybeans Spo,US,USD
JMATIRID Index,Johnson Matthey Iridium Spot P,MULT,USD
TTFDDAHD Index,ICE Endex Dutch TTF Gas Spot P,NE,EUR
CBTOCNNT Index,CFTC CBOT Corn Non-Commercial,US,
FSWTM1 Index,Bloomberg Fair Value/Nymex Wes,US,USD
ST14WC Index,World Crude Oil & Liquid Fuels,,
CUFURDTA Index,Total Copper Refined Demand,MULT,
EDGEPORK Index,HedgersEdge Pork Packer Margin,US,USD
CFCDSMMN Index,CFTC CMX Silver Managed Money,US,
DIEIGULC Index,US Gulf Coast Ultra Low Sulfur,US,USd
MERSETH2 Index,SE Asia Film-Grade Polyethylen,MULT,USD
THRQWR05 Index,Thailand White Rice 5%,TH,USD
PMTCLAUS Index,Platts Premium Low Vol HCC FOB,,USD
USCRLLSS Index,Crude Oil Light Louisiana Swee,US,USD
FNOSM1 Index,Bloomberg Fair Value Price/NWE,NE,USD
POLIMECN Index,China Methanol CFR Price USD/T,CH,USD
SOLANA Index,Renewable Energy - Solar - Tot,MULT,
CDUTUNST Index,Total United States Crude (Atm,US,
OSCASPES Index,US Strategic Petroleum Reserve,US,
CDFLM1 Index,European Crude Dated Brent vs,GB,USD
FLNG1YTC Index,LNG Tanker 1 Year Time Charter,,USD
NASS000F Index,PLATTS US HRC Steel lead times,,
EEX3CRT3 Index,EEX EUA Auction Cover Ratio Ph,GE,
AICNST09 Index,China Aluminum Inventories Tot,CH,
COCAIVNY Index,ICE  145 lb Cocoa Bag Inventor,US,
DOEDFMG4 Index,DOE Finished Mogas Product Sup,US,
EEUAM0 Index,Bloomberg Fair Value European,MULT,EUR
FSTUM1 Index,ICE NL Natural Gas TTF Futures,NE,USD
GDTRGOLD Index,SPDR Gold Trust Gold Holdings,US,
NGMPTOTL Index,Total U.S. Natural Gas Markete,US,
GCPIRCPI Index,Real Carbon Price Index,MULT,USD
IU60AVAK Index,Dutch TTF NatGas Base Load Inv,,
SHFZZIND Index,Shanghai Futures Exchange Week,CH,
SOLWASPM Index,Solar Panel/Solar Module 120W+,,USD
ST14WO Index,World Crude Oil & Liquid Fuels,,
FSNGS WI2425 Index,Bloomberg Fair Value Price/Nym,US,USD
NOAAONI Index,NOAA Climate Prediction Center,US,
EOK4 Comdty,E-MINI NATURAL GA May24,US,USD
GOEWM1 Index,East-West Asia Gasoil 10ppm FO,SI,USD
CBT1SNCN Index,Bloomberg CFTC CBT Soybeans Ne,US,
CFCDRMMN Index,CFTC NYMEX RBOB Managed Money,US,
CVCNDOPN Index,China Coking Coal A 10.5% V 20,CH,CNY
USPS01PO Index,Permian Basin Shale Oil Produc,US,
PBFSM1   Index,US Thermal Coal PRB 8800 btu/l,US,USD
PCW1 Comdty,Generic 1st 'PCW' Future,US,USD
CIOSHEBE Index,China Iron Ore Spot Price Hebe,CH,CNY
ELUBS SU24 Index,UK Power Baseload Forward Seas,GB,GBP
DFPK4 Comdty,Dutch Power Bsl M May24,DE,EUR
FINSBSEA Index,SE Asia Butadiene (Olefins) CF,MULT,USD
BOILMN2G Index,Base Oil Price Motiva Gulf Coa,US,USD
CRCRCIPW Index,China Crude Oil Inventory at P,CH,
FINSOUSG Index,US Gulf Polymer-Grade Propylen,US,USd
GIOS0097 Index,GX Crude Oil Dubai FOB Partial,UA,USD
NAMG001E Index,PLATTS MVS Rebar China Domesti,,USD
GSDEDUSI Index,US Lower 48 Natural Gas Estima,US,
FVHCM M24 Index,NYMEX Heating Oil Futures minu,US,USD
LWFSSPOT Index,Low Carbon Fuel Standards Cred,US,USD
FSBTM1 Index,Bloomberg Fair Value/ICE Brent,MULT,USD
FSGJM1 Index,Bloomberg Fair Value Price/USG,US,USd
FSDUM H24 Index,Bloomberg Fair Value Price/Dub,UA,USD
GCFPUREG Index,Egypt Urea Spot Price,EG,USD
NAST0001 Index,PLATTS TSI HMS 1/2 80:20 Deep-,,USD
USRFAUSA Index,US Retail Automotive Gasoline,US,USD
FVQCM2 Index,ICE Gasoil Futures minus ICE B,MULT,USD
GSFLCTOT Index,Dry Gas Total Net Imports from,,
NYM2PNCN Index,Bloomberg CFTC NYME Palladium,US,
FFHSM1 Index,Bloomberg Fair Value/Houston S,US,USD
S6USYEHT Index,United States Silicon Metal 98,US,USD
CMXOCNCN Index,Bloomberg CFTC CMX Copper Net,US,
FDBSM J24 Index,Bloomberg Fair Value Price/Dat,GB,USD
STANOCFB Index,North America Steel OCTG P110,US,USD
COASNE55 Index,Australia Newcastle Port Therm,AU,USD
ELGBYR3  Index,Germany Power Baseload Forward,GE,EUR
SSGEM1 Index,Germany Spark Spread Baseload,GE,EUR
FNLAY 25 Index,ERCOT North Load Zone Real Tim,US,USD
GOEWM K24 Index,East-West Asia Gasoil 10ppm FO,SI,USD
PPC1 Comdty,Generic 1st 'PPC' Future,US,USD
TC5FM1 Index,TC5 FFA 55kt Middle East to Ja,MULT,
JMATPLAT Index,Johnson Matthey Platinum Spot,MULT,USD
S3IN0002 Index,India HR Coil IS2062 3.0mm In,IN,INR
SOSPALAS Index,Middle East Arab Light Crude S,MULT,USD
BASMSBPA Index,CEPEA Brazil ESALQ Soybean Who,BZ,BRL
BZPTAVDI Index,Brazil Oil Average Diesel Pric,BZ,BRL
JFC1 Comdty,Generic 1st 'JFC' Future,US,USD
PFATIO65 Index,PLATTS IO fines Fe 65% $/DMt,,USD
COTLOOKA Index,Cotlook Ltd Raw Cotton A Index,MULT,USd
CSPWHRSE Index,China Weekly Hot Rolled Steel,CH,USD
S58FM1 Index,Supramax 58 TC FFA 58kt Timech,MULT,USD
FVXRM2 Index,NYMEX RBOB Gasoline Futures mi,US,USD
USCREMSW Index,Edmonton Crude Oil Mixed Sweet,CA,USD
LQM1SPVL Index,ClearLynx VLSFO Bunker Fuel Sp,SI,USD
FFHHY 25 Index,Bloomberg Fair Value/Henry Hub,US,USD
FZWWWST Index,Global Crude Oil on Water,MULT,
ISIX62LU Index,Iron Ore Spot Price Index 62%,CH,USD
MOGFM92S Index,Gasoline Singapore 92 RON FOB,SI,USD
NEXK4M Comdty,NOMX Nordic Base  May24,NO,EUR
RIN6Y 24 Index,US Ethanol D6 RINs Y Price 202,US,USD
FDB1Y Comdty,Generic 1st 'FDBY' Fut,SE,EUR
GMELITBS Index,GME Day-Ahead Baseload Spot Pr,IT,EUR
POLIBERO Index,Rotterdam Benzene Aromatics FO,NE,USD
TTE8SPO2 Index,EU Titanium Dioxide (TiO2) Spo,MULT,USD
CARMN2SX Index,China Carbon Black N220 Shanxi,CH,CNY
CEI1GNCL Index,CFTC CEI Gold Non-Commercial L,US,
CGIEEUWI Index,GIE Europe Gas Withdrawal (GWh,,
DL1 Comdty,Generic 1st 'DL' Future,US,USD
IOECBZ65 Index,Iron Ores Fines 65% Fe Offshor,CH,USD
NEFCWSTF Index,BNEF Estimated Canadian West W,CA,
SLVRLN Index,LBMA Silver Price - Price/US C,GB,USd
IMM3CNCN Index,Bloomberg CFTC CME Canadian Do,,
NGNECNGO Index,Eastern Gas South Point Natura,US,USD
STANRBXW Index,US Midwest Steel Rebar Spot Ex,US,USD
C5TCBOM Index,Capesize 5TC FFA 180kt Timecha,MULT,USD
FSJBM1 Index,BFV/Asia Jet Kerosene FOB Sing,SI,USD
PGCRARLT Index,Bloomberg Arabian Gulf Arab Li,SR,USD
TFF2GAIN Index,CFTC CBT 2 Year US T Notes Ass,,
ZS1 Comdty,Generic 1st 'ZS' Future,IN,INR
WC24M Z24 Index,Washington Carbon Allowance (W,,USD
AEO135 Index,Brent Spot ($/barrel) nominal,US,USD
DWOPWRLD Index,DOE World Crude Oil Production,MULT,
LCBMASCF Index,Asia Lithium Carbonate CIF Swa,MULT,USD
RUAPWN12 Index,Russia Wheat 12.5% FOB Novoros,RU,USD
C5TCQ1 Index,Capesize 5TC FFA 180kt Timecha,MULT,USD
ENWSSPAV Index,System Daily Average EUR (Nord,MULT,EUR
MATSBNFB Index,PolymerUpdate.com Benzene (Aro,US,USd
API31MON Index,Australia Coal 6000kcal FOB Ne,AU,USD
EGTH1MON Index,Germany THE Natural Gas Forwar,GE,EUR
ERDNHBHO Index,ERCOT HB_HOUSTON Day Ahead LMP,US,USD
FVXHM Q24 Index,NYMEX RBOB Gasoline Futures mi,US,USd
TTFGBOM  Index,Netherlands TTF Natural Gas Fo,NE,EUR
CEI1SNCN Index,Bloomberg CFTC CMX Silver Net,US,
F35BM1 Index,European Fuel Oil 3.5% FOB Rot,NE,USD
BAAWETHB Index,CEPEA Brazil ESALQ Ethanol Hyd,BZ,BRL
FSQCM H24 Index,Bloomberg Fair Value Price/ICE,MULT,USD
LPGSCWPP Index,North American Spot LPGs/NGLs,US,USd
ENWSS3AL Index,Stockholm Daily Average EUR (N,SW,EUR
PXB1M Comdty,Generic 1st 'PXBM'Future,DE,EUR
Z1CNHCOF Index,China Zinc Concentrate Treatme,CH,USD
CFCDMMMN Index,CFTC ICE Coffee C Managed Mone,US,
FOEXBHKP Index,Europe Pulp BHKP PIX Index USD,MULT,USD
INCLICTO Index,India Domestic Coal Actual Sto,IN,
SSGEY1 Index,Germany Spark Spread Baseload,GE,EUR
C51 Comdty,Generic 1st 'C5' Future,RU,USD
LPGFAGPP Index,Bloomberg Arab Gulf LPG Propan,SR,USD
PASOG10S Index,Platts Gasoil 10PPM FOB Spore,,USD
PUSAETHA Index,NEXANT Price - Ethane - United,US,USD
TFF1DAIN Index,CFTC CME Japanese Yen Asst Mgr,,
CHECBLCK Index,Mercantile Exchange US Cheddar,US,USD
FDHCM1 Index,Dubai Hydrocracker (HCU) Refin,MULT,USD
FNPAM1 Index,Bloomberg Fair Value/NWE Basis,MULT,USD
IISTTOTL Index,IISI World Total Steel Product,MULT,
PMMUAUMT Index,PLATTS Alumina FOB Australia $,,USD
PTCSPLYP Index,US Polypropylene Spot Price,,USd
NINDSOIA Index,Commonwealth Bureau of Meteoro,AU,
TTFGY 26 Index,Netherlands TTF Natural Gas Fo,NE,EUR
BAINCOFE Index,CEPEA Brazil ESALQ Arabica Cof,BZ,BRL
DQB1 Comdty,Generic 1st 'DQB' Future,GB,EUR
FNOSM J24 Index,Bloomberg Fair Value Price/NWE,NE,USD
BCSL0032 Index,Bloomberg Singapore Jet Kerose,SI,USD
FSDBM0 Index,Bloomberg Fair Value Price/Dat,GB,USD
NDCNDLXH Index,China Neodymium Oxide 99% FOB,CH,USD
NOSPQUAI Index,West Africa Qua Iboe Crude Nig,NG,USD
GH20RHKA Index,BAFG German River Level: Rhine,GE,
PMMUAKE0 Index,PLATTS US Alum Trans Prem Dail,,USd
RUESEXOI Index,Russia Oil Exports,RU,
AEO381 Index,Metallurgical Coal Avg Price t,US,USD
CMETPRIC Index,USGS - US Cement Price Current,US,USD
CNNCCEL Index,China National Carbon Emission,CH,CNY
FSNGM1 Index,Bloomberg Fair Value Price/Nym,US,USD
OPCRNIGE Index,Bloomberg OPEC Crude Oil Produ,NG,
FUCLM1 Index,Bloomberg Fair Value US Gulf C,US,USD
EGGYLWSE Index,USDA Large Egg Prices Delivere,US,USd
FVXHM U24 Index,NYMEX RBOB Gasoline Futures mi,US,USd
TFF2GLFN Index,CFTC CBT 2 Year US T Notes Lev,,
DOEGPROD Index,DOE Natural Gas Dry Production,US,
NYMOCNCN Index,Bloomberg CFTC NYME Crude Oil,US,
POLIPRNW Index,NWE Propylene Spot CIF Price E,MULT,EUR
FPWAY 25 Index,PJM Western Hub Day Ahead Arou,US,USD
ISIX58IU Index,Iron Ore Spot Price Index 58%,CH,USD
TTFG1WIN Index,Netherlands TTF Natural Gas Fo,NE,EUR
AICNIWSH Index,China Aluminum Premium Shangha,CH,CNY
CEHGM H24 Index,US Continental Gas Heating Deg,,USD
FSXRM1 Index,NYMEX RBOB Gasoline minus ICE,US,USD
ZLSJ24 Comdty,PJM WH RT PK MINI Apr24,US,USD
CECNRN04 Index,China Copper Smelting and Refi,,
ITP1 Comdty,Generic 1st 'ITPA',DE,EUR
SHASSPOT Index,North America Shredded Auto St,MULT,USD
EGSINCAD Index,Powernext Gas THE Germany Euro,GE,EUR
FPJRY 26 Index,Bloomberg Fair Value Price/ PJ,US,USD
LNGG30DT Index,LNG on Water for at least 30 D,MULT,
PXPEIDTB Index,Poland Power Index TGeBase,PD,PLN
TDIMHUDO Index,China TDI Spot Price Huadong,CH,CNY
USCRANSW Index,Crude Oil Alaska North Slope (,US,USD
AJKMSPOT Index,Asia JKM LNG DES Japan-Korea C,,USD
BPCECHBN Index,USDA Chicken Boneless Breast R,US,USD
BVF5 Comdty,ICE RBY YEAR COAL Jan25,GB,USD
EFPSGOLD Index,Gold EFP,,USD
FJPNM1 Index,Bloomberg Fair Value/Japan C&F,JN,USD
SBO0URF1 Index,Argentina Soybean Oil FOB Up R,AR,USD
ZORBSPOT Index,North America Zorba 90% NF Alu,MULT,USD
CCSMCOBL Index,China Shanghai Changjiang Coba,CH,CNY
JCIAPGLN Index,China Pig Tradable Domestic Pr,CH,CNY
TTFGM J24 Index,Netherlands TTF Natural Gas Fo,NE,EUR
FJPPCOTN Index,FIBER US Commodity Cotton Spot,US,USd
L4CN99CF Index,China Lithium Carbonate 99.5%,CH,USD
TCPMCQWM Index,Soda Ash Market - FOB (West Eu,MULT,USD
GAANAGGR Index,Norway Total Exit Daily Histor,,
HOGOM1 Index,NY Harbor ULSD 1st Line vs Low,,USd
IISTEURO Index,World Steel Association Crude,MULT,
CLCFACPW Index,US California Low Carbon Fuel,US,USD
ST25TC Index,US Electricity Industry Overvi,US,
TO1 Comdty,Generic 1st 'TO' Future,US,USD
CBT3TNCN Index,Bloomberg CFTC CBT US Treasury,,
MERSPVUS Index,US Domestic PVC Resin Suspensi,US,USd
NYM1CNCL Index,CFTC NYMEX Crude Oil Light Swe,US,
ZRCNUTDP Index,China Zircon Sand Australian Z,CH,CNY
DATFDVRT Index,DAT Freight & Analytics  Natio,US,
DBRST3PA Index,EEX European Emission Allowanc,GE,EUR
DSGEY1 Index,Germany Dark Spread Baseload Y,GE,EUR
ERNFSPOT Index,US Power ERCOT North Zone Peak,US,USD
FCCLM1 Index,Bloomberg Fair Value US Gulf C,US,USD
FSCOM H24 Index,Bloomberg Fair Value Price/ICE,GB,USD
MOIGCB87 Index,US Gulf Coast Gasoline 85 Octa,US,USd
P4TCQ Q224 Index,Panamax 4TC FFA 74kt Timechart,MULT,USD
GSDEDUSR Index,US Lower 48 Natural Gas Estima,US,
TCPMCQCL Index,Chlorine US - Domestic Liquid,US,USD
FSCLM1   Index,Bloomberg Fair Value Price/Nym,US,USD
GLCNIMCH Index,China Non-Monetary Gold Import,,
GZEUST Index,Europe Natural Gas Inventory,,
ZLS1 Comdty,Generic 1st 'ZLS' Future,US,USD
MB088252 Index,"Petroleum needle coke 0.5% S,",,CNY
TFC1DAIN Index,CFTC CME Japanese Yen Asst Mgr,,
TGEUWOQR Index,Europe Tungsten APT 88.5% In w,NE,USD
CRKS321A Index,US West Coast Alaskan North Sl,US,USD
GCFPAMMC Index,US Cornbelt Ammonia Spot Price,US,USD
IVOLGOLD Index,Gold 3M Implied Volatility,,
OLE1ITM1 Index,Commodity3 Olive Oil Italy Ext,IT,EUR
CEI1GOIN Index,CFTC CEI Gold Total Open Inter,US,
GMEPIT24 Index,Day-ahead Power PUN (Single Na,IT,EUR
CFCDQMMS Index,CFTC NYMEX Crude Oil Managed M,US,
CUFURDCN Index,China Copper Refined Demand,CH,
FSDGM1 Index,BFV/Asia Gasoil 10ppm FOB Sing,SI,USD
COMXALTL Index,Comex Aluminum Total Stocks in,US,
EIAUUSA Index,Total Electricity Net Generati,US,
GASL500P Index,Gasoil 500ppm Singapore FOB Ca,SI,USD
POLICSNA Index,NE Asia Caustic Soda FOB Price,MULT,USD
ARASFO Index,PJK International ARA Fuel Oil,MULT,
CFFDSMMN Index,CFTC CMX Silver Managed Money,US,
COCMEQLQ Index,Cocoa Merchants Ecuador Cocoa,US,USD
FSNGS SU25 Index,Bloomberg Fair Value Price/Nym,US,USD
PLTMLNAM Index,London Metal Exchange Platinum,GB,USD
SHFUCUFO Index,Shanghai Futures Exchange Copp,,
URAPBOM Index,US Uranium U3O8 Physical BOM,US,USD
AHOYIMEU Index,NWE & Eastern Europe Daily LNG,,
BAINCORN Index,CEPEA Brazil ESALQ Corn Wholes,BZ,BRL
GOLDECPM Index,LBMA Gold Price PM EUR,GB,EUR
IBRBM1 Index,ICE Brent Crude Oil RBOB Gasol,MULT,USD
AACNOMGD Index,China Alumina 99% in East Chin,CH,CNY
BXCNPC01 Index,China Domestic Bauxite Average,CH,CNY
FLSEM1 Index,Bloomberg Fair Value/EU Marine,NE,USD
MAPOPLM1 Index,Malaysia RBD Palm Olein FOB Ex,MA,USD
POLIMESE Index,SE Asia MEG CFR Price USD/Ton,MULT,USD
TQTN4 Comdty,ITALIAN BASE QTR  Jul24,DE,EUR
EZM4 Comdty,QLD BASE ELEC FUT Jun24,AU,AUD
RIN3Y 24 Index,US Cellulosic Biofuel D3 RIN Y,US,USD
USCSWTIM Index,Crude Oil WTI Midland vs Cushi,US,USD
CRKS321O Index,US Mid-Continent WTI Midland C,US,USD
CURIIQTL Index,China Refined Copper Total Imp,CH,
DOEDDFO4 Index,DOE Distillate Fuel Oil Produc,US,
PCRUFRT2 Index,Platts European Forties Crude,,USD
GCM11637 Index,Crude Oil Syncrude Sweet Blend,CA,USD
IRBZEX Index,Brazil Iron Ore Exports,BZ,
SYB0BRF1 Index,Commodity3 Brazil Soybeans FOB,BZ,USD
TFF3ILFN Index,CFTC CME 3-Month SOFR Leverage,,
USCSMEHC Index,Crude Oil WTI Houston vs Cushi,US,USD
TALOIYGN Index,USDA Tallow & Protein Fob Cent,US,USD
TFF2FLFN Index,CFTC CBT Ultra Long Term US T,,
USDPCSAM Index,US Real Disposable Personal In,,
FUCOM1 Index,Bloomberg Fair Value US Gulf U,US,USD
MOIGC93P Index,US Gulf Coast Gasoline 93 Octa,US,USd
CFCDHMMN Index,CFTC CBT SoyO Managed Money Ne,US,
CFCDQMML Index,CFTC NYMEX Crude Oil Managed M,US,
FVCCM1   Index,Bloomberg Fair Value Price/NYM,US,USD
GCM11635 Index,Crude Oil Western Canadian Sel,CA,USD
ICCBBMML Index,ICE Brent Crude COT Managed Mo,GB,
N6SH180S Index,Fuel Oil 180 CST Singapore FOB,SI,USD
PULPGPSB Index,Global Pulp Shipment Monthly,,
CFFDQMMN Index,CFTC NYMEX Crude Oil Managed M,US,
JCCFSPOT Index,Japan Crude Cocktail Forward S,,USD
N6GF3.0 Index,Fuel Oil 3.5% 380 CST FOB USGC,US,USD
UNS1SPOT Index,Uranium 308 Physical Price SPO,,USD
VE1 Comdty,Generic 1st 'VE' Future,US,USD
CCKPYCHU Index,China Prime Coking Coal Yinchu,CH,CNY
DIEN10CF Index,ULSD NWE CIF Cargoes,MULT,USD
FVXHM JUN1 Index,NYMEX RBOB Gasoline Futures mi,US,USd
IMMOPNCN Index,Bloomberg CFTC CME British Pou,,
WTGJM1 Index,US Gulf Coast 54 Grade Jet Fue,US,USD
BOXPC185 Index,USDA Boxed Pork Carcass Cut 20,US,USD
CBT55NCN Index,Bloomberg CFTC CBT 5-Yr US Tre,,
FSDSM1 Index,Bloomberg Fair Value Price/ Si,SI,USD
GCFPUBGC Index,Urea Brazil Granular CFR mt Sp,BZ,USD
PLSI1040 Index,Platts Iron Ore Spot Lump Prem,,USD
BMRSWIND Index,Power Generation for Wind Plan,GB,
PLPH0AAI Index,PolishedPrices.com Diamond Pri,GB,USD
DFU3OMMN Index,CFTC NYMX Platinum Managed Mon,US,
ECAGSUGA Index,EU White Sugar Average Price M,,
OMPTDAHD Index,OMEL Day Ahead Baseload Electr,PO,EUR
SCROWTIC Index,US Crude Oil West Texas Interm,US,USD
STA1 Comdty,Generic 1st 'STA' Future,US,USD
CBTPTNCN Index,Bloomberg CFTC CBT 10-Yr US Tr,,
ELUBQTR2 Index,UK Power Baseload Forward Quar,GB,GBP
FKN4 Comdty,ICE New Coal Qu F Jul24,GB,USD
FOEXNBSK Index,Europe Pulp NBSK PIX Index USD,MULT,USD
MUCM24 Comdty,Murban Crude Fut  Jun24,AE,USD
BCSL0075 Index,US Crude Oil WTI Midland Spot,US,USD
CCADEC1 Index,US California Carbon Allowance,US,USD
ENASENA2 Index,Bloomberg ICE WTI Crude Oil 12,US,USD
EVSAEVGL Index,Annual EV Sales - Global (mill,,
FWCDM1 Index,Bloomberg Fair Value/WCS TMX 1,MULT,USD
JKL1 Comdty,Generic 1st 'JKL' Future,US,USD
LNGPXAEU Index,Europe LNG DES Daily Spot Pric,MULT,EUR
PUSPETCD Index,Platts Ethanol Spot Price/Chic,,USd
BAKMWRLD Index,Baker Hughes Total World Oil A,MULT,
CCKPTANG Index,China First Grade Metallurgica,CH,CNY
POLIROTT Index,Rotterdam Methanol FOB Price E,NE,EUR
QZ1 Comdty,Generic 1st 'QZ' Future,US,USD
RLWORCGZ Index,US Lumber Random Length Dimens,US,USD
