Date,last_price,return,volatility_weekly,volatility_monthly,volatility_annual,T+1 return,T+3 return,T+5 return,T+10 return
2009-02-02,7.0,,,,,7.1,,,
2009-02-03,7.1,0.014285714285714235,,,,7.0,,,
2009-02-04,7.0,-0.014084507042253502,,,,6.9,,,
2009-02-05,6.9,-0.014285714285714235,,,,6.95,-0.021126760563380254,,
2009-02-06,6.95,0.007246376811594235,,,,6.85,-0.021428571428571463,,
2009-02-09,6.85,-0.014388489208633115,0.01392804121159775,,,6.8,-0.01449275362318847,-0.04225352112676051,
2009-02-10,6.8,-0.007299270072992692,0.009336838725259523,,,6.6,-0.05035971223021585,-0.05714285714285716,
2009-02-11,6.6,-0.02941176470588236,0.013284634315228793,,,6.4,-0.06569343065693423,-0.07246376811594202,
2009-02-12,6.4,-0.030303030303030165,0.015782234943155782,,,6.3,-0.07352941176470584,-0.09352517985611519,
2009-02-13,6.3,-0.01562500000000011,0.01006112419967715,,,6.4,-0.030303030303030165,-0.06569343065693423,
2009-02-16,6.4,0.01587301587301604,0.01898128739555945,,,5.2,-0.1875,-0.23529411764705876,-0.2676056338028169
2009-02-17,5.2,-0.1875,0.07943102480645366,,,6.0,-0.04761904761904756,-0.09090909090909083,-0.1428571428571429
2009-02-18,6.0,0.15384615384615374,0.12188877324565933,,,5.9,-0.078125,-0.078125,-0.14492753623188404
2009-02-19,5.9,-0.016666666666666607,0.12154969055783912,,,5.7,0.09615384615384626,-0.09523809523809523,-0.17985611510791366
2009-02-20,5.7,-0.03389830508474578,0.12203430339505937,,,5.25,-0.125,-0.1796875,-0.23357664233576636
2009-02-23,5.25,-0.07894736842105265,0.12365254549260762,,,5.0,-0.15254237288135597,-0.03846153846153855,-0.2647058823529411
2009-02-24,5.0,-0.04761904761904767,0.09149772151729683,,,4.95,-0.13157894736842102,-0.17499999999999993,-0.2499999999999999
2009-02-25,4.95,-0.010000000000000009,0.02749319135165706,,,5.0,-0.04761904761904767,-0.15254237288135597,-0.21875
2009-02-26,5.0,0.010101010101010166,0.03430773311793745,,,4.8,-0.040000000000000036,-0.1578947368421053,-0.23809523809523814
2009-02-27,4.8,-0.040000000000000036,0.03449690133519982,,,4.6,-0.07070707070707083,-0.12380952380952392,-0.2812500000000001
2009-03-02,4.6,-0.04166666666666674,0.024839372240754432,,,4.7,-0.05999999999999994,-0.05999999999999994,-0.09615384615384615
2009-03-03,4.7,0.021739130434782705,0.028700560371074192,0.05909223895705525,,4.65,-0.03124999999999989,-0.06060606060606055,-0.22499999999999998
2009-03-04,4.65,-0.010638297872340385,0.02869105131179856,0.058679698244460336,,4.9,0.0652173913043479,-0.019999999999999907,-0.1694915254237288
2009-03-05,4.9,0.053763440860215006,0.0410971950812243,0.06075249640937489,,4.9,0.042553191489361764,0.02083333333333348,-0.14035087719298245
2009-03-06,4.9,0.0,0.03572378782436493,0.06084119240413775,,4.7,0.010752688172043001,0.021739130434782705,-0.10476190476190472
2009-03-09,4.7,-0.04081632653061229,0.03544919783408369,0.060892064641045275,,4.65,-0.05102040816326525,-0.010638297872340385,-0.06999999999999995
2009-03-10,4.65,-0.010638297872340385,0.034528795213907545,0.06090449834999053,,4.75,-0.030612244897959218,0.021505376344086002,-0.04040404040404044
2009-03-11,4.75,0.021505376344086002,0.035421432502613655,0.061443156273766876,,4.55,-0.03191489361702138,-0.07142857142857151,-0.09000000000000008
2009-03-12,4.55,-0.04210526315789476,0.027276866448665203,0.061653164013168026,,4.4,-0.053763440860215006,-0.10204081632653061,-0.08333333333333326
2009-03-13,4.4,-0.03296703296703285,0.026904463405122248,0.061687455366605526,,4.5,-0.052631578947368474,-0.042553191489361764,-0.021739130434782483
2009-03-16,4.5,0.022727272727272707,0.030032390781166995,0.06225865447106799,,4.65,0.021978021978022122,0.0,-0.010638297872340385
2009-03-17,4.65,0.03333333333333344,0.03517298680246088,0.06279179008036301,,4.55,0.03409090909090895,-0.04210526315789476,-0.021505376344086113
2009-03-18,4.55,-0.021505376344086113,0.03399070888716529,0.04859046532885609,,4.6,0.022222222222222143,0.01098901098901095,-0.061224489795918546
2009-03-19,4.6,0.01098901098901095,0.028574760028293754,0.03255626472344729,,4.7,0.010752688172043001,0.06818181818181812,-0.04081632653061229
2009-03-20,4.7,0.021739130434782705,0.021083518424398425,0.03335364455863481,,4.75,0.04395604395604402,0.05555555555555558,0.010638297872340496
2009-03-23,4.75,0.010638297872340496,0.02043789117514387,0.03318920874393085,,4.8,0.04347826086956519,0.032258064516129004,0.032258064516129004
2009-03-24,4.8,0.010526315789473717,0.016355561834196432,0.029136854930329508,,4.7,0.0,0.03296703296703307,-0.010526315789473606
2009-03-25,4.7,-0.02083333333333326,0.01606835060574272,0.027674697066195065,,4.6,-0.03157894736842115,0.0,0.01098901098901095
2009-03-26,4.6,-0.021276595744680993,0.01989448273758626,0.027934123541542216,,4.7,-0.02083333333333326,0.0,0.06818181818181812
2009-03-27,4.7,0.021739130434782705,0.01989448273758626,0.028322152849966045,,4.4,-0.06382978723404253,-0.07368421052631569,-0.022222222222222143
