Date,Return,Vol,Duration
2022-04-01,-14.324310062958974,-9.635027702192366,7.849907485853031
2022-04-04,-8.399357637732423,-9.653073786814527,7.72459529320006
2022-04-07,-1.4076209763424405,-9.478916015331563,7.359244094669508
2022-04-08,-9.186984814944381,-9.5077725571367,7.584926606044805
2022-04-12,-6.585682477144783,-9.44981648965808,7.423698833873017
2022-04-22,-3.121052435087992,-9.643344212260754,7.779070639876526
2022-04-27,-8.547133394062437,-9.46377384746395,7.444158456575918
2022-04-28,-7.367897575690911,-9.47906458145648,7.857842436074873
2022-04-29,-2.9811586873233935,-10.0,7.885711529026629
2022-05-04,-3.700607059991391,-9.41577802401055,7.472116617360866
2022-05-05,-5.736796671449707,-9.39112362499677,7.289617220381835
2022-05-09,-2.0287893106163977,-9.268717993069952,7.321968827697121
2022-05-11,-1.9077917023677966,-9.31238930637006,7.435549545317706
2022-05-12,-3.836153352561413,-9.597043468401266,7.378423394419973
2022-05-13,-8.130786036248354,-9.346549776966375,7.370019265375315
2022-05-17,-5.21847684159152,-9.433352050664691,7.234819157206765
2022-05-25,-4.332913532870271,-9.368333062720794,7.422463583057161
2022-05-26,-4.689686951396626,-9.432427736849943,7.524217849306367
2022-06-03,-3.348441443374764,-9.405419570783073,7.493408108408051
2022-06-08,-4.139177206561717,-9.986362004721087,7.663603964510059
2022-06-09,-5.968741177020345,-9.468065601173247,7.44354166905018
2022-06-13,-2.740755938383267,-9.39447197896568,7.757713099745206
2022-06-14,-6.410278715293046,-9.40085132758257,7.488297626315092
2022-06-15,-6.191189432538349,-9.38458800263286,7.793894438717931
2022-06-16,-2.690909955897189,-9.039536642615875,7.259234560368914
2022-06-17,-5.135331295552966,-9.232673789597817,7.487811764818337
2022-06-20,-3.7609304961087386,-9.344589871116089,7.675307020947927
2022-06-21,-4.823184469798372,-9.462334793767754,7.373202192257645
2022-06-22,-4.034563314317907,-9.07037703811114,7.318668997892629
2022-06-23,-3.289529586939529,-9.307635211907396,7.707052526939949
2022-06-24,-6.233550364038725,-9.20751230630255,7.938589411442865
2022-06-29,-3.0410540487941424,-9.19711023444775,7.336363354869593
2022-07-01,-2.234594905015932,-9.02739595091105,7.231262041684437
2022-07-04,-6.254688588270665,-9.284405860646427,7.158392382481902
2022-07-07,-4.085551722836074,-9.09652548266729,7.615021411102279
2022-07-14,-3.975546676350747,-9.38804362206985,7.322494754402597
2022-07-18,-2.6290091184243516,-9.409393396523814,7.540375663634084
2022-07-19,-3.660723408573937,-9.694842127432128,7.642276521857541
2022-07-20,-6.607585619449991,-7.817048754433502,7.183363587284374
2022-07-21,-3.3280458476251864,-9.153165633138546,7.50006646974077
2022-07-22,-3.228262102681845,-8.400079856910995,7.020348352663382
2022-07-25,-3.068503598300118,-8.20219016978294,6.632672367602742
2022-07-26,-1.8554071249743191,-8.166194976287564,6.338855221359287
2022-08-01,-1.3040484572505076,-8.303773433205832,6.442312279076658
2022-08-02,-4.54443207704438,-9.290424150843064,7.470436531369971
2022-08-04,-3.4386864212535153,-9.660948517350604,7.166481812180512
2022-08-16,-4.004484492257612,-9.176009936387429,7.245985354707001
2022-08-17,-1.9831735436908355,-9.061730824296767,7.469097085374081
2022-08-18,-3.036101828077883,-9.575153286170766,7.032986314150559
2022-08-19,-3.288484639225499,-9.432147882470355,7.639332300793823
2022-08-22,-2.291224481664786,-9.83192527911164,7.339625569996849
2022-08-23,-4.213027642073465,-9.360967203037807,7.620789188577177
2022-08-26,-0.9967237416650476,-9.363872153129662,7.734451689186085
2022-08-30,-2.2691813316625935,-9.685054094901094,7.580319370103257
2022-09-01,-5.768097126373664,-9.392721680460687,7.583523434717226
2022-09-08,-8.053755486912724,-9.39535287785939,7.431468348378244
2022-09-09,-4.02305698314563,-9.750022797619033,7.577569005360055
2022-09-15,-4.243940343808604,-9.373012157891562,7.724571070635645
2022-09-16,-0.8949088947815772,-9.395573978284236,7.355708161938947
2022-09-19,-1.4799361226431904,-9.720830631694634,7.659398510693983
2022-09-21,-7.120770662037739,-9.419233216542812,7.594775716426302
2022-09-28,-1.862600600463257,-9.592000198154926,7.52427920388441
2022-09-29,-1.932044488398961,-9.355784166215551,7.770669339887545
2022-09-30,-7.785385925643949,-9.391631796594728,7.440720650845017
2022-10-03,-2.517847772113978,-9.543210827173096,7.962714913793411
2022-10-04,-3.4170185826371595,-9.20225471175528,7.507038594610072
2022-10-05,-3.546602340742883,-9.610943169717741,7.531715552860398
2022-10-06,-8.376266228766086,-9.48730302517894,7.687117769955363
2022-10-07,-2.6107554991402795,-9.648630876686774,7.630247961841327
2022-10-11,-3.5241555921030283,-9.529354333542676,7.653405784157445
2022-10-14,-1.8138578732234008,-9.496126638484775,7.617605248353119
2022-10-17,-3.9043557663194295,-9.48015829285297,7.773177395066339
2022-10-19,-6.233852594671667,-9.455831250249805,7.572108561828902
2022-10-20,-9.529089596206848,-9.47176354733872,8.118775113149512
2022-10-21,-6.113632862778502,-9.392420408040898,7.142891174430769
2022-10-25,-3.1069029720700616,-9.455280296754452,7.387487898766293
2022-10-26,-2.0467354802207764,-9.283526636461614,7.326707853928879
2022-10-28,-4.75082487102666,-9.31300992317679,7.063898063640148
2022-10-31,-4.976218928632598,-9.523688434206669,7.595505556149662
2022-11-03,-5.469530189227221,-9.378784446186094,7.639956800340783
2022-11-04,-4.163482725241179,-9.41669257861216,7.430676846144191
2022-11-09,-6.158703012687223,-9.389356526729502,7.531089688206003
2022-11-11,-4.507059278897514,-9.829817748701037,7.617695681530198
