Date,displace_ratio_20,displace_ratio_40,displace_ratio_60,zero_crossings_10,zero_crossings_20,zero_crossings_40,zero_crossings_60,y_n1,y_n5,y_n10,y_n20,y_label_n1,y_label_n5,y_label_n10,y_label_n20,hurst_simplify_random_walk,hurst_notsimplify_random_walk,hurst_simplify_price,hurst_notsimplify_price,hurst_simplify_change,hurst_notsimplify_change,mom_5d,mom_20d,mom_90d,mom_150d
2017-02-01,-0.9772727272727277,,,0.3,0.05,,,-0.013245226750020489,-0.030052345066401642,-0.06805346324501538,-0.2363887780642302,False,False,False,False,,,,,,,-0.04187407247105934,-0.2491190377174708,,
2017-02-02,-0.9782608695652178,,,0.1,0.05,,,0.0,-0.016807118316381153,-0.15082288973458358,-0.23151180098472635,False,False,False,False,,,,,,,-0.042420715883952465,-0.2623642644674913,,
2017-02-03,-0.9777777777777782,,,0.1,0.05,,,0.0,-0.03735578654376881,-0.16644820763766455,-0.23151180098472635,False,False,False,False,,,,,,,-0.04561051125205218,-0.2623642644674913,,
2017-02-06,-0.9777777777777782,,,0.1,0.05,,,-0.006688988150796327,-0.04430025889657996,-0.16644820763766455,-0.23151180098472635,False,False,False,False,,,,,,,-0.03278982282299081,-0.25722286496707225,,
2017-02-07,-0.9782608695652178,,,0.1,0.05,,,-0.010118130165584827,-0.03761127074578363,-0.17563256864315813,-0.21645456316341338,False,False,False,False,,,,,,,-0.03947881097378714,-0.2639118531178686,,
2017-02-08,-0.977528089887641,,,0.1,0.05,,,0.0,-0.038001118178613735,-0.1655144384775733,-0.19803763018313347,False,False,False,False,,,,,,,-0.030052345066401642,-0.2740299832834534,,
2017-02-09,-0.977528089887641,,,0.1,0.05,,,-0.020548668227387656,-0.13401577141820242,-0.17758701971184254,-0.2147046826683452,False,False,False,False,,,,,,,-0.016807118316381153,-0.2584452522667555,,
2017-02-10,-0.9780219780219784,,,0.1,0.05,,,-0.0069444723528111485,-0.12909242109389574,-0.15703835148445489,-0.20259488308682205,False,False,False,False,,,,,,,-0.03735578654376881,-0.2789939204941432,,
2017-02-13,-0.9574468085106392,,,0.1,0.05,,,0.0,-0.12214794874108459,-0.15009387913164374,-0.1956504107340109,False,False,False,False,,,,,,,-0.04430025889657996,-0.27541197985996657,,
2017-02-14,-0.9500000000000011,,,0.1,0.05,,,-0.01050797759841493,-0.1380212978973745,-0.16231399046641926,-0.1956504107340109,False,False,False,False,,,,,,,-0.03761127074578363,-0.14565275315686765,,
2017-02-15,-0.9487179487179498,,,0.1,0.05,,,-0.09601465323958869,-0.12751332029895956,-0.16833531481921482,-0.21089492923801068,False,False,False,False,,,,,,,-0.038001118178613735,-0.13485094416853127,,
2017-02-16,-0.967213114754099,,,0.1,0.05,,,-0.01562531790308097,-0.04357124829364012,-0.08068891125014277,-0.15028220304933804,False,False,False,False,,,,,,,-0.13401577141820242,-0.21848153820839844,,
2017-02-17,-0.9692307692307699,,,0.1,0.05,,,0.0,-0.02794593039055915,-0.0650635933470618,-0.13465688514625707,False,False,False,False,,,,,,,-0.12909242109389574,-0.22156750685874438,,
2017-02-20,-0.9692307692307699,,,0.1,0.05,,,-0.015873349156289907,-0.02794593039055915,-0.0650635933470618,-0.14370672066617485,False,False,False,False,,,,,,,-0.12214794874108459,-0.22156750685874438,,
2017-02-21,-0.9710144927536238,,,0.1,0.05,,,0.0,-0.02429269256904476,-0.040821994520255256,-0.1369658550731574,False,False,False,False,,,,,,,-0.1380212978973745,-0.23744085601503429,,
2017-02-22,-0.9692307692307699,,,0.1,0.05,,,-0.012072581234269242,-0.040821994520255256,-0.03252319170556017,-0.14618251017808137,False,False,False,False,,,,,,,-0.12751332029895956,-0.23744085601503429,,
2017-02-23,-1.0,,,0.1,0.05,,,0.0,-0.03711766295650265,-0.03711766295650265,-0.14341232160612583,False,False,False,False,,,,,,,-0.04357124829364012,-0.23681485391217616,,
2017-02-24,-1.0,,,0.1,0.05,,,0.0,-0.03711766295650265,-0.04555653160236717,-0.14341232160612583,False,False,False,False,,,,,,,-0.02794593039055915,-0.24000464928027587,,
2017-02-27,-1.0,,,0.1,0.05,,,-0.012220111334775519,-0.03711766295650265,-0.04555653160236717,-0.14341232160612583,False,False,False,False,,,,,,,-0.02794593039055915,-0.2271839608512145,,
2017-02-28,-1.0,-0.9864864864864867,,0.1,0.05,0.025,,-0.016529301951210496,-0.016529301951210496,-0.03333642026759165,-0.11267316250411263,False,False,False,False,,,,,,,-0.02429269256904476,-0.23940407218599002,,
2017-03-01,-1.0,-0.9868421052631582,,0.1,0.05,0.025,,-0.008368249670516636,0.008298802814695083,-0.042559614418795855,-0.0824762218242383,False,True,False,False,,,,,,,-0.040821994520255256,-0.2363887780642302,,
2017-03-02,-1.0,-0.9870129870129872,,0.1,0.05,0.025,,0.0,0.0,-0.06959329179919527,-0.07410797215372167,False,False,False,False,,,,,,,-0.03711766295650265,-0.23151180098472635,,
2017-03-03,-1.0,-0.9868421052631582,,0.1,0.05,0.025,,0.0,-0.008438868645864517,-0.06959329179919527,-0.0877756108823855,False,False,False,False,,,,,,,-0.03711766295650265,-0.23151180098472635,,
2017-03-06,-1.0,-0.9868421052631582,,0.1,0.05,0.025,,0.008368249670516636,-0.008438868645864517,-0.07864312731911305,-0.0877756108823855,True,False,False,False,,,,,,,-0.03711766295650265,-0.23151180098472635,,
2017-03-07,-0.9322033898305087,-0.9610389610389614,,0.1,0.05,0.025,,0.008298802814695083,-0.016807118316381153,-0.09614386055290214,-0.09614386055290214,True,False,False,False,,,,,,,-0.016529301951210496,-0.21645456316341338,,
2017-03-08,-0.8688524590163939,-0.9333333333333338,,0.1,0.05,0.025,,-0.01666705248521172,-0.05085841723349094,-0.1136593184725212,-0.10444266336759722,False,False,False,False,,,,,,,0.008298802814695083,-0.19803763018313347,,
2017-03-09,-0.8644067796610173,-0.9350649350649355,,0.3,0.05,0.025,,-0.008438868645864517,-0.06959329179919527,-0.10629465864962317,-0.0877756108823855,False,False,False,False,,,,,,,0.0,-0.2147046826683452,,
2017-03-10,-0.8644067796610173,-0.9342105263157899,,0.3,0.05,0.025,,0.0,-0.06115442315333075,-0.09785579000375866,-0.08855339734144496,False,False,False,False,,,,,,,-0.008438868645864517,-0.20259488308682205,,
2017-03-13,-0.8644067796610173,-0.9056603773584911,,0.3,0.05,0.025,,0.0,-0.07020425867324853,-0.09785579000375866,-0.08855339734144496,False,False,False,False,,,,,,,-0.008438868645864517,-0.1956504107340109,,
2017-03-14,-0.8571428571428575,-0.8989898989898997,,0.3,0.05,0.025,,-0.0257524961024147,-0.07933674223652099,-0.07933674223652099,-0.08393445148515055,False,False,False,False,,,,,,,-0.016807118316381153,-0.1956504107340109,,
2017-03-15,-0.7777777777777785,-0.9009900990099017,,0.1,0.05,0.025,,-0.03540192705091605,-0.06280090123903026,-0.03991660740544245,-0.03991660740544245,False,False,False,False,,,,,,,-0.05085841723349094,-0.21089492923801068,,
2017-03-16,-0.8000000000000005,-0.9047619047619053,,0.1,0.15,0.025,,0.0,-0.03670136685042791,-0.004514680354526401,-0.004514680354526401,False,False,False,False,,,,,,,-0.06959329179919527,-0.15028220304933804,,
2017-03-17,-0.8000000000000005,-0.9047619047619053,,0.1,0.15,0.025,,-0.009049835519917782,-0.03670136685042791,-0.018182319083190235,-0.009049835519917782,False,False,False,False,,,,,,,-0.06115442315333075,-0.13465688514625707,,
2017-03-20,-0.7894736842105269,-0.9065420560747669,,0.1,0.15,0.025,,-0.009132483563272453,-0.027651531330510126,-0.009132483563272453,0.0,False,False,False,False,,,,,,,-0.07020425867324853,-0.14370672066617485,,
2017-03-21,-0.8000000000000005,-0.9082568807339455,,0.2,0.05,0.025,,-0.009216655104923976,0.0,0.0,0.009132483563272453,False,False,False,True,,,,,,,-0.07933674223652099,-0.1369658550731574,,
2017-03-22,-0.7948717948717954,-0.9065420560747669,,0.1,0.05,0.025,,-0.009302392662313697,0.02288429383358781,0.009216655104923976,0.02739897418811421,False,True,True,True,,,,,,,-0.06280090123903026,-0.14618251017808137,,
2017-03-23,-0.8048780487804884,-0.9259259259259262,,0.1,0.05,0.025,,0.0,0.032186686495901506,0.018519047767237673,0.06336961393258944,False,True,True,True,,,,,,,-0.03670136685042791,-0.14341232160612583,,
2017-03-24,-0.8048780487804884,-0.9230769230769234,,0.1,0.05,0.025,,0.0,0.018519047767237673,0.009302392662313697,0.06336961393258944,False,True,True,True,,,,,,,-0.03670136685042791,-0.14341232160612583,,
2017-03-27,-0.7894736842105269,-0.9230769230769234,,0.1,0.05,0.025,,0.018519047767237673,0.018519047767237673,0.009302392662313697,0.06336961393258944,True,True,True,True,,,,,,,-0.027651531330510126,-0.14341232160612583,,
2017-03-28,-0.5789473684210523,-0.8431372549019607,-0.905263157894737,0.1,0.05,0.025,0.016666666666666666,0.013667638728663833,0.0,-0.004597709248629567,0.053584246134106284,True,False,False,True,,,,,,,0.0,-0.11267316250411263,,
2017-03-29,-0.43589743589743546,-0.7821782178217819,-0.8756476683937824,0.2,0.05,0.025,0.016666666666666666,0.0,-0.013667638728663833,0.0,0.03991660740544245,False,False,False,True,,,,,,,0.02288429383358781,-0.0824762218242383,,
2017-03-30,-0.43589743589743546,-0.7821782178217819,-0.8756476683937824,0.2,0.05,0.025,0.016666666666666666,-0.013667638728663833,-0.013667638728663833,0.0,0.03991660740544245,False,False,False,True,,,,,,,0.032186686495901506,-0.07410797215372167,,
